,Person_age,No_of_child,Child_ages,Gender,plan_name,cover,Facility,No of Hospitals,Monthly charge,Annually charge
5,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,19,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,19,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,19,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,19,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,19,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,19,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,19,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,19,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,19,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
16,19,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,19,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,19,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,19,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,19,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,19,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,19,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,19,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,19,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,19,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,19,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,19,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,19,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,19,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,19,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,19,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,19,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
16,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,19,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,19,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,19,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,19,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,19,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,19,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
16,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
17,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
18,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
19,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
20,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
21,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
22,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
23,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
24,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
25,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
26,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
27,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
28,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
29,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
30,20,0,[],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
31,20,0,[],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
32,20,0,[],Male,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
33,20,0,[],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
34,20,0,[],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
35,20,0,[],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
0,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
1,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
2,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
3,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
4,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
5,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
6,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
7,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
8,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
9,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
10,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
11,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
12,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
13,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
14,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
15,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
16,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
17,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
18,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
19,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
20,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
21,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
22,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
23,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
24,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
25,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
26,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
27,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
28,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
29,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
30,20,1,[1],Male,Care Advantage,₹ 25L,Cashless Hospitals,270,₹840/month,"₹ 10,079 annually"
31,20,1,[1],Male,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,"₹1,102/month","₹ 13,224 annually"
32,20,1,[1],Male,Health Optima,₹ 5L,Cashless Hospitals,300,₹805/month,"₹ 9,652 annually"
33,20,1,[1],Male,Optima Restore,₹ 5L,Cashless Hospitals,410,₹900/month,"₹ 10,796 annually"
34,20,1,[1],Male,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹875/month,"₹ 10,493 annually"
35,20,1,[1],Male,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹955/month,"₹ 11,455 annually"
0,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
1,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
2,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
3,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
4,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
5,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
6,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
7,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
8,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
9,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
10,20,0,[],Female,My:health Suraksha Silver Smart,₹ 5L,Cashless Hospitals,410,₹729/month,"₹ 8,744 annually"
11,20,0,[],Female,1 Cr Sum Insured **,₹ 1Cr,Cashless Hospitals,278,₹684/month,"₹ 8,197 annually"
12,20,0,[],Female,Care Advantage,₹ 25L,Cashless Hospitals,270,₹564/month,"₹ 6,764 annually"
13,20,0,[],Female,1Cr Super Saver,₹ 1Cr,Cashless Hospitals,256,₹890/month,"₹ 10,677 annually"
14,20,0,[],Female,Medi Classic,₹ 5L,Cashless Hospitals,300,₹620/month,"₹ 7,432 annually"
15,20,0,[],Female,Optima Restore,₹ 5L,Cashless Hospitals,410,₹698/month,"₹ 8,370 annually"
